r/a,ne,nD,nT,nHe
0.6413481967213115,1.122648500877207,0.49510823309158203,0.49510823309158203,0.033679455026316196
0.646551475409836,1.1155631619745265,0.4920176475200871,0.4920176475200871,0.033466894859235805
0.6517308196721312,1.1085212635581991,0.4889448016231298,0.4889448016231298,0.03325563790674597
0.6568862704918033,1.1015229390201935,0.4858898013073595,0.4858898013073595,0.033045688170605804
0.6620179508196722,1.0945684631840114,0.4828528137655569,0.4828528137655569,0.03283705389552033
0.6671258196721312,1.087658202397644,0.47983404476131014,0.47983404476131014,0.03262974607192931
0.6722095081967213,1.0807924646286409,0.47683367270114785,0.47683367270114785,0.032423773938859216
0.6772693032786885,1.0739716995611797,0.47385193825304683,0.47385193825304683,0.032219150986835386
0.6823050819672132,1.067196198695037,0.4708890102748858,0.4708890102748858,0.0320158859608511
0.687316762295082,1.060466245446359,0.4679450536622877,0.4679450536622877,0.031813987363390764
0.6923043032786885,1.0537822152501395,0.4650202721361729,0.4650202721361729,0.03161346645750418
0.6972676229508197,1.0471443756642982,0.4621148210914245,0.4621148210914245,0.031414331269928944
0.7022067213114754,1.040553036475272,0.459228873442182,0.459228873442182,0.031216591094258152
0.707121475409836,1.03400839980502,0.45636255346413307,0.45636255346413307,0.0310202519941506
0.7120118032786886,1.0275107602193545,0.4535160255441253,0.4535160255441253,0.030825322806580634
0.7168775819672132,1.0210600048375018,0.4506892744309738,0.4506892744309738,0.030631800145125055
0.7217187704918033,1.0146545675387364,0.4478816493894109,0.4478816493894109,0.030439637026162095
0.7265352049180328,1.008289119151131,0.44509085787736685,0.44509085787736685,0.030248673574533924
0.7313268442622951,1.001958781804473,0.4423147995840732,0.4423147995840732,0.030058763454134184
0.7360935245901639,0.9956628510812129,0.4395531912450392,0.4395531912450392,0.02986988553243638
0.7408351639344263,0.989401912957287,0.4368063130456872,0.4368063130456872,0.029682057388718604
0.7455516393442623,0.9831766789017499,0.4340744993621727,0.4340744993621727,0.029495300367052498
0.7502427868852459,0.9769878659798215,0.43135808660082425,0.43135808660082425,0.029309635979394642
0.754908524590164,0.9708361669592102,0.4286574001099914,0.4286574001099914,0.029125085008776305
