@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.4000000E+00, 0.3165300E+01, 0.2847724E+01, 0.2844816E+01, 0.2860929E+01,
 0.4020000E+00, 0.3166351E+01, 0.2848278E+01, 0.2845364E+01, 0.2861495E+01,
 0.4040000E+00, 0.3167404E+01, 0.2848840E+01, 0.2845920E+01, 0.2862069E+01,
 0.4060000E+00, 0.3168462E+01, 0.2849407E+01, 0.2846482E+01, 0.2862649E+01,
 0.4080000E+00, 0.3169522E+01, 0.2849982E+01, 0.2847051E+01, 0.2863236E+01,
 0.4100000E+00, 0.3170585E+01, 0.2850563E+01, 0.2847627E+01, 0.2863830E+01,
 0.4120000E+00, 0.3171652E+01, 0.2851151E+01, 0.2848209E+01, 0.2864430E+01,
 0.4140000E+00, 0.3172722E+01, 0.2851745E+01, 0.2848798E+01, 0.2865036E+01,
 0.4160000E+00, 0.3173795E+01, 0.2852346E+01, 0.2849393E+01, 0.2865649E+01,
 0.4180000E+00, 0.3174872E+01, 0.2852952E+01, 0.2849994E+01, 0.2866268E+01,
 0.4200000E+00, 0.3175951E+01, 0.2853565E+01, 0.2850601E+01, 0.2866893E+01,
 0.4220000E+00, 0.3177034E+01, 0.2854184E+01, 0.2851215E+01, 0.2867523E+01,
 0.4240000E+00, 0.3178119E+01, 0.2854809E+01, 0.2851834E+01, 0.2868160E+01,
 0.4260000E+00, 0.3179208E+01, 0.2855440E+01, 0.2852459E+01, 0.2868803E+01,
 0.4280000E+00, 0.3180300E+01, 0.2856076E+01, 0.2853091E+01, 0.2869451E+01,
 0.4300000E+00, 0.3181394E+01, 0.2856718E+01, 0.2853728E+01, 0.2870105E+01,
 0.4320000E+00, 0.3182492E+01, 0.2857366E+01, 0.2854370E+01, 0.2870764E+01,
 0.4340000E+00, 0.3183592E+01, 0.2858019E+01, 0.2855018E+01, 0.2871430E+01,
 0.4360000E+00, 0.3184695E+01, 0.2858678E+01, 0.2855672E+01, 0.2872100E+01,
 0.4380000E+00, 0.3185802E+01, 0.2859342E+01, 0.2856331E+01, 0.2872776E+01,
 0.4400000E+00, 0.3186911E+01, 0.2860012E+01, 0.2856995E+01, 0.2873457E+01,
 0.4420000E+00, 0.3188023E+01, 0.2860687E+01, 0.2857664E+01, 0.2874143E+01,
 0.4440000E+00, 0.3189138E+01, 0.2861367E+01, 0.2858339E+01, 0.2874835E+01,
 0.4460000E+00, 0.3190255E+01, 0.2862051E+01, 0.2859019E+01, 0.2875531E+01,
 0.4480000E+00, 0.3191375E+01, 0.2862741E+01, 0.2859704E+01, 0.2876232E+01,
 0.4500000E+00, 0.3192499E+01, 0.2863436E+01, 0.2860394E+01, 0.2876939E+01,
 0.4520000E+00, 0.3193624E+01, 0.2864136E+01, 0.2861088E+01, 0.2877650E+01,
 0.4540000E+00, 0.3194753E+01, 0.2864841E+01, 0.2861788E+01, 0.2878366E+01,
 0.4560000E+00, 0.3195884E+01, 0.2865550E+01, 0.2862492E+01, 0.2879086E+01,
 0.4580000E+00, 0.3197018E+01, 0.2866264E+01, 0.2863201E+01, 0.2879811E+01,
 0.4600000E+00, 0.3198154E+01, 0.2866982E+01, 0.2863914E+01, 0.2880541E+01,
 0.4620000E+00, 0.3199294E+01, 0.2867705E+01, 0.2864632E+01, 0.2881275E+01,
 0.4640000E+00, 0.3200435E+01, 0.2868433E+01, 0.2865355E+01, 0.2882014E+01,
 0.4660000E+00, 0.3201580E+01, 0.2869165E+01, 0.2866082E+01, 0.2882757E+01,
 0.4680000E+00, 0.3202726E+01, 0.2869901E+01, 0.2866813E+01, 0.2883504E+01,
 0.4700000E+00, 0.3203876E+01, 0.2870641E+01, 0.2867549E+01, 0.2884255E+01,
 0.4720000E+00, 0.3205028E+01, 0.2871386E+01, 0.2868289E+01, 0.2885011E+01,
 0.4740000E+00, 0.3206182E+01, 0.2872135E+01, 0.2869033E+01, 0.2885771E+01,
 0.4760000E+00, 0.3207339E+01, 0.2872888E+01, 0.2869781E+01, 0.2886535E+01,
 0.4780000E+00, 0.3208498E+01, 0.2873645E+01, 0.2870533E+01, 0.2887303E+01,
 0.4800000E+00, 0.3209660E+01, 0.2874406E+01, 0.2871289E+01, 0.2888074E+01,
 0.4820000E+00, 0.3210824E+01, 0.2875171E+01, 0.2872050E+01, 0.2888850E+01,
 0.4840000E+00, 0.3211991E+01, 0.2875940E+01, 0.2872814E+01, 0.2889630E+01,
 0.4860000E+00, 0.3213160E+01, 0.2876712E+01, 0.2873582E+01, 0.2890413E+01,
 0.4880000E+00, 0.3214331E+01, 0.2877489E+01, 0.2874353E+01, 0.2891200E+01,
 0.4900000E+00, 0.3215504E+01, 0.2878269E+01, 0.2875129E+01, 0.2891991E+01,
 0.4920000E+00, 0.3216681E+01, 0.2879053E+01, 0.2875908E+01, 0.2892785E+01,
 0.4940000E+00, 0.3217859E+01, 0.2879840E+01, 0.2876691E+01, 0.2893583E+01,
 0.4960000E+00, 0.3219039E+01, 0.2880631E+01, 0.2877477E+01, 0.2894385E+01,
 0.4980000E+00, 0.3220222E+01, 0.2881426E+01, 0.2878267E+01, 0.2895190E+01,
 0.5000000E+00, 0.3221407E+01, 0.2882224E+01, 0.2879061E+01, 0.2895998E+01,
