@QF  vs t@
X,QF
 0.7940000E+00, 0.9232461E+00
 0.7960000E+00, 0.9246901E+00
 0.7980000E+00, 0.9261345E+00
 0.8000000E+00, 0.9275795E+00
 0.8020000E+00, 0.9290248E+00
 0.8040000E+00, 0.9304706E+00
 0.8060000E+00, 0.9319168E+00
 0.8080000E+00, 0.9333636E+00
 0.8100000E+00, 0.9348107E+00
 0.8120000E+00, 0.9362583E+00
 0.8140000E+00, 0.9377064E+00
 0.8160000E+00, 0.9391549E+00
 0.8180000E+00, 0.9406039E+00
 0.8200000E+00, 0.9420533E+00
 0.8220000E+00, 0.9435031E+00
 0.8240000E+00, 0.9449535E+00
 0.8260000E+00, 0.9464043E+00
 0.8280000E+00, 0.9478555E+00
 0.8300000E+00, 0.9493071E+00
 0.8320000E+00, 0.9507592E+00
 0.8340000E+00, 0.9522118E+00
 0.8360000E+00, 0.9536648E+00
 0.8380000E+00, 0.9551182E+00
 0.8400000E+00, 0.9565722E+00
 0.8420000E+00, 0.9580265E+00
 0.8440000E+00, 0.9594812E+00
 0.8460000E+00, 0.9609364E+00
 0.8480000E+00, 0.9623921E+00
 0.8500000E+00, 0.9638482E+00
 0.8520000E+00, 0.9653047E+00
 0.8540000E+00, 0.9667616E+00
 0.8560000E+00, 0.9682190E+00
 0.8580000E+00, 0.9696768E+00
 0.8600000E+00, 0.9711350E+00
 0.8620000E+00, 0.9725937E+00
 0.8640000E+00, 0.9740528E+00
 0.8660000E+00, 0.9755123E+00
 0.8680000E+00, 0.9769722E+00
 0.8700000E+00, 0.9784326E+00
 0.8720000E+00, 0.9798934E+00
 0.8740000E+00, 0.9813547E+00
 0.8760000E+00, 0.9828163E+00
 0.8780000E+00, 0.9842783E+00
 0.8800000E+00, 0.9857408E+00
 0.8820000E+00, 0.9872037E+00
 0.8840000E+00, 0.9886671E+00
 0.8860000E+00, 0.9901308E+00
 0.8880000E+00, 0.9915950E+00
 0.8900000E+00, 0.9930595E+00
 0.8920000E+00, 0.9945245E+00
 0.8940000E+00, 0.9959899E+00
 0.8960000E+00, 0.9974558E+00
 0.8980000E+00, 0.9989220E+00
 0.9000000E+00, 0.1000389E+01
 0.9020000E+00, 0.1001856E+01
 0.9040000E+00, 0.1003323E+01
 0.9060000E+00, 0.1004791E+01
 0.9080000E+00, 0.1006260E+01
 0.9100000E+00, 0.1007728E+01
 0.9120000E+00, 0.1009197E+01
 0.9140000E+00, 0.1010667E+01
 0.9160000E+00, 0.1012137E+01
 0.9180000E+00, 0.1013607E+01
 0.9200000E+00, 0.1015078E+01
 0.9220000E+00, 0.1016549E+01
 0.9240000E+00, 0.1018021E+01
 0.9260000E+00, 0.1019493E+01
 0.9280000E+00, 0.1020966E+01
 0.9300000E+00, 0.1022439E+01
 0.9320000E+00, 0.1023912E+01
 0.9340000E+00, 0.1025386E+01
