@WF,WB,WI,WE [MJ]  vs t@
X,WF,WB,WI,WE
 0.4820000E+01, 0.4969769E+02, 0.4969119E+02, 0.4969119E+02, 0.2561244E+02,
 0.4840000E+01, 0.4973253E+02, 0.4972599E+02, 0.4972599E+02, 0.2563023E+02,
 0.4860000E+01, 0.4976717E+02, 0.4976060E+02, 0.4976060E+02, 0.2564792E+02,
 0.4880000E+01, 0.4980161E+02, 0.4979499E+02, 0.4979499E+02, 0.2566551E+02,
 0.4900000E+01, 0.4983584E+02, 0.4982919E+02, 0.4982919E+02, 0.2568300E+02,
 0.4920000E+01, 0.4986987E+02, 0.4986319E+02, 0.4986319E+02, 0.2570038E+02,
 0.4940000E+01, 0.4990371E+02, 0.4989700E+02, 0.4989700E+02, 0.2571766E+02,
 0.4960000E+01, 0.4993735E+02, 0.4993060E+02, 0.4993060E+02, 0.2573484E+02,
 0.4980000E+01, 0.4997079E+02, 0.4996402E+02, 0.4996402E+02, 0.2575193E+02,
 0.5000000E+01, 0.5000405E+02, 0.4999723E+02, 0.4999723E+02, 0.2576891E+02,
 0.5020000E+01, 0.5003711E+02, 0.5003027E+02, 0.5003027E+02, 0.2578580E+02,
 0.5040000E+01, 0.5006999E+02, 0.5006310E+02, 0.5006310E+02, 0.2580259E+02,
 0.5060000E+01, 0.5010267E+02, 0.5009576E+02, 0.5009576E+02, 0.2581928E+02,
 0.5080000E+01, 0.5013517E+02, 0.5012822E+02, 0.5012822E+02, 0.2583588E+02,
 0.5100000E+01, 0.5016749E+02, 0.5016050E+02, 0.5016050E+02, 0.2585238E+02,
 0.5120000E+01, 0.5019962E+02, 0.5019260E+02, 0.5019260E+02, 0.2586879E+02,
 0.5140000E+01, 0.5023158E+02, 0.5022452E+02, 0.5022452E+02, 0.2588511E+02,
 0.5160000E+01, 0.5026334E+02, 0.5025625E+02, 0.5025625E+02, 0.2590133E+02,
 0.5180000E+01, 0.5029494E+02, 0.5028781E+02, 0.5028781E+02, 0.2591747E+02,
 0.5200000E+01, 0.5032635E+02, 0.5031919E+02, 0.5031919E+02, 0.2593351E+02,
 0.5220000E+01, 0.5035759E+02, 0.5035040E+02, 0.5035040E+02, 0.2594946E+02,
 0.5240000E+01, 0.5038866E+02, 0.5038143E+02, 0.5038143E+02, 0.2596533E+02,
 0.5260000E+01, 0.5041955E+02, 0.5041228E+02, 0.5041228E+02, 0.2598110E+02,
 0.5280000E+01, 0.5045027E+02, 0.5044297E+02, 0.5044297E+02, 0.2599679E+02,
 0.5300000E+01, 0.5048082E+02, 0.5047348E+02, 0.5047348E+02, 0.2601239E+02,
 0.5320000E+01, 0.5051120E+02, 0.5050383E+02, 0.5050383E+02, 0.2602791E+02,
