@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.3020000E+01, 0.1128635E+01, 0.1224405E+01, 0.3375984E+01,
 0.3040000E+01, 0.1130625E+01, 0.1225882E+01, 0.3376636E+01,
 0.3060000E+01, 0.1132601E+01, 0.1227348E+01, 0.3377282E+01,
 0.3080000E+01, 0.1134565E+01, 0.1228803E+01, 0.3377923E+01,
 0.3100000E+01, 0.1136515E+01, 0.1230246E+01, 0.3378557E+01,
 0.3120000E+01, 0.1138452E+01, 0.1231679E+01, 0.3379186E+01,
 0.3140000E+01, 0.1140376E+01, 0.1233101E+01, 0.3379810E+01,
 0.3160000E+01, 0.1142288E+01, 0.1234512E+01, 0.3380428E+01,
 0.3180000E+01, 0.1144186E+01, 0.1235913E+01, 0.3381041E+01,
 0.3200000E+01, 0.1146072E+01, 0.1237303E+01, 0.3381648E+01,
 0.3220000E+01, 0.1147945E+01, 0.1238682E+01, 0.3382250E+01,
 0.3240000E+01, 0.1149806E+01, 0.1240052E+01, 0.3382847E+01,
 0.3260000E+01, 0.1151654E+01, 0.1241411E+01, 0.3383438E+01,
 0.3280000E+01, 0.1153490E+01, 0.1242760E+01, 0.3384025E+01,
 0.3300000E+01, 0.1155313E+01, 0.1244099E+01, 0.3384606E+01,
 0.3320000E+01, 0.1157124E+01, 0.1245429E+01, 0.3385182E+01,
 0.3340000E+01, 0.1158924E+01, 0.1246748E+01, 0.3385753E+01,
 0.3360000E+01, 0.1160711E+01, 0.1248058E+01, 0.3386319E+01,
 0.3380000E+01, 0.1162486E+01, 0.1249358E+01, 0.3386880E+01,
 0.3400000E+01, 0.1164250E+01, 0.1250649E+01, 0.3387436E+01,
 0.3420000E+01, 0.1166001E+01, 0.1251930E+01, 0.3387987E+01,
 0.3440000E+01, 0.1167742E+01, 0.1253202E+01, 0.3388534E+01,
 0.3460000E+01, 0.1169470E+01, 0.1254465E+01, 0.3389076E+01,
 0.3480000E+01, 0.1171187E+01, 0.1255719E+01, 0.3389612E+01,
 0.3500000E+01, 0.1172893E+01, 0.1256964E+01, 0.3390145E+01,
 0.3520000E+01, 0.1174587E+01, 0.1258199E+01, 0.3390672E+01,
 0.3540000E+01, 0.1176270E+01, 0.1259426E+01, 0.3391196E+01,
 0.3560000E+01, 0.1177942E+01, 0.1260644E+01, 0.3391714E+01,
 0.3580000E+01, 0.1179602E+01, 0.1261854E+01, 0.3392228E+01,
 0.3600000E+01, 0.1181252E+01, 0.1263055E+01, 0.3392738E+01,
 0.3620000E+01, 0.1182891E+01, 0.1264247E+01, 0.3393243E+01,
 0.3640000E+01, 0.1184519E+01, 0.1265431E+01, 0.3393744E+01,
 0.3660000E+01, 0.1186136E+01, 0.1266607E+01, 0.3394240E+01,
 0.3680000E+01, 0.1187743E+01, 0.1267774E+01, 0.3394732E+01,
 0.3700000E+01, 0.1189339E+01, 0.1268933E+01, 0.3395220E+01,
 0.3720000E+01, 0.1190924E+01, 0.1270084E+01, 0.3395704E+01,
 0.3740000E+01, 0.1192499E+01, 0.1271227E+01, 0.3396183E+01,
 0.3760000E+01, 0.1194063E+01, 0.1272362E+01, 0.3396658E+01,
 0.3780000E+01, 0.1195618E+01, 0.1273489E+01, 0.3397130E+01,
 0.3800000E+01, 0.1197162E+01, 0.1274608E+01, 0.3397597E+01,
 0.3820000E+01, 0.1198696E+01, 0.1275720E+01, 0.3398060E+01,
 0.3840000E+01, 0.1200219E+01, 0.1276824E+01, 0.3398519E+01,
 0.3860000E+01, 0.1201733E+01, 0.1277920E+01, 0.3398974E+01,
 0.3880000E+01, 0.1203237E+01, 0.1279009E+01, 0.3399425E+01,
 0.3900000E+01, 0.1204731E+01, 0.1280091E+01, 0.3399872E+01,
 0.3920000E+01, 0.1206215E+01, 0.1281165E+01, 0.3400316E+01,
 0.3940000E+01, 0.1207690E+01, 0.1282231E+01, 0.3400755E+01,
 0.3960000E+01, 0.1209155E+01, 0.1283291E+01, 0.3401191E+01,
 0.3980000E+01, 0.1210610E+01, 0.1284343E+01, 0.3401623E+01,
 0.4000000E+01, 0.1212056E+01, 0.1285389E+01, 0.3402051E+01,
 0.4020000E+01, 0.1213493E+01, 0.1286427E+01, 0.3402476E+01,
 0.4040000E+01, 0.1214920E+01, 0.1287458E+01, 0.3402897E+01,
 0.4060000E+01, 0.1216338E+01, 0.1288483E+01, 0.3403314E+01,
 0.4080000E+01, 0.1217746E+01, 0.1289501E+01, 0.3403728E+01,
 0.4100000E+01, 0.1219146E+01, 0.1290511E+01, 0.3404138E+01,
 0.4120000E+01, 0.1220536E+01, 0.1291516E+01, 0.3404544E+01,
 0.4140000E+01, 0.1221917E+01, 0.1292513E+01, 0.3404948E+01,
 0.4160000E+01, 0.1223290E+01, 0.1293504E+01, 0.3405347E+01,
 0.4180000E+01, 0.1224653E+01, 0.1294489E+01, 0.3405743E+01,
 0.4200000E+01, 0.1226008E+01, 0.1295467E+01, 0.3406136E+01,
 0.4220000E+01, 0.1227354E+01, 0.1296439E+01, 0.3406525E+01,
 0.4240000E+01, 0.1228691E+01, 0.1297404E+01, 0.3406911E+01,
 0.4260000E+01, 0.1230020E+01, 0.1298363E+01, 0.3407293E+01,
 0.4280000E+01, 0.1231340E+01, 0.1299316E+01, 0.3407673E+01,
 0.4300000E+01, 0.1232652E+01, 0.1300263E+01, 0.3408048E+01,
 0.4320000E+01, 0.1233955E+01, 0.1301203E+01, 0.3408421E+01,
 0.4340000E+01, 0.1235250E+01, 0.1302138E+01, 0.3408790E+01,
 0.4360000E+01, 0.1236536E+01, 0.1303067E+01, 0.3409157E+01,
 0.4380000E+01, 0.1237815E+01, 0.1303990E+01, 0.3409519E+01,
 0.4400000E+01, 0.1239085E+01, 0.1304907E+01, 0.3409879E+01,
 0.4420000E+01, 0.1240347E+01, 0.1305818E+01, 0.3410236E+01,
 0.4440000E+01, 0.1241600E+01, 0.1306723E+01, 0.3410589E+01,
 0.4460000E+01, 0.1242846E+01, 0.1307623E+01, 0.3410939E+01,
 0.4480000E+01, 0.1244084E+01, 0.1308517E+01, 0.3411286E+01,
 0.4500000E+01, 0.1245314E+01, 0.1309405E+01, 0.3411630E+01,
 0.4520000E+01, 0.1246536E+01, 0.1310288E+01, 0.3411971E+01,
 0.4540000E+01, 0.1247750E+01, 0.1311166E+01, 0.3412309E+01,
 0.4560000E+01, 0.1248956E+01, 0.1312038E+01, 0.3412644E+01,
 0.4580000E+01, 0.1250155E+01, 0.1312905E+01, 0.3412975E+01,
 0.4600000E+01, 0.1251346E+01, 0.1313766E+01, 0.3413304E+01,
 0.4620000E+01, 0.1252529E+01, 0.1314622E+01, 0.3413629E+01,
 0.4640000E+01, 0.1253704E+01, 0.1315473E+01, 0.3413951E+01,
 0.4660000E+01, 0.1254872E+01, 0.1316319E+01, 0.3414270E+01,
 0.4680000E+01, 0.1256032E+01, 0.1317160E+01, 0.3414585E+01,
 0.4700000E+01, 0.1257185E+01, 0.1317995E+01, 0.3414898E+01,
 0.4720000E+01, 0.1258330E+01, 0.1318826E+01, 0.3415207E+01,
 0.4740000E+01, 0.1259468E+01, 0.1319652E+01, 0.3415514E+01,
 0.4760000E+01, 0.1260599E+01, 0.1320473E+01, 0.3415817E+01,
