@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.2980000E+00, 0.5004170E+01, 0.4993842E+01, 0.3117270E+01, 0.2831173E+01,
 0.3000000E+00, 0.5004313E+01, 0.4993966E+01, 0.3118079E+01, 0.2831223E+01,
 0.3020000E+00, 0.5004455E+01, 0.4994090E+01, 0.3118896E+01, 0.2831285E+01,
 0.3040000E+00, 0.5004597E+01, 0.4994215E+01, 0.3119718E+01, 0.2831361E+01,
 0.3060000E+00, 0.5004739E+01, 0.4994339E+01, 0.3120548E+01, 0.2831450E+01,
 0.3080000E+00, 0.5004881E+01, 0.4994464E+01, 0.3121383E+01, 0.2831552E+01,
 0.3100000E+00, 0.5005023E+01, 0.4994590E+01, 0.3122225E+01, 0.2831666E+01,
 0.3120000E+00, 0.5005165E+01, 0.4994715E+01, 0.3123073E+01, 0.2831794E+01,
 0.3140000E+00, 0.5005307E+01, 0.4994842E+01, 0.3123927E+01, 0.2831933E+01,
 0.3160000E+00, 0.5005448E+01, 0.4994967E+01, 0.3124788E+01, 0.2832085E+01,
 0.3180000E+00, 0.5005590E+01, 0.4995094E+01, 0.3125654E+01, 0.2832249E+01,
 0.3200000E+00, 0.5005732E+01, 0.4995221E+01, 0.3126525E+01, 0.2832425E+01,
 0.3220000E+00, 0.5005874E+01, 0.4995348E+01, 0.3127403E+01, 0.2832613E+01,
 0.3240000E+00, 0.5006015E+01, 0.4995476E+01, 0.3128286E+01, 0.2832812E+01,
 0.3260000E+00, 0.5006156E+01, 0.4995604E+01, 0.3129175E+01, 0.2833023E+01,
 0.3280000E+00, 0.5006298E+01, 0.4995731E+01, 0.3130069E+01, 0.2833246E+01,
 0.3300000E+00, 0.5006440E+01, 0.4995860E+01, 0.3130969E+01, 0.2833479E+01,
 0.3320000E+00, 0.5006581E+01, 0.4995988E+01, 0.3131874E+01, 0.2833724E+01,
 0.3340000E+00, 0.5006722E+01, 0.4996117E+01, 0.3132784E+01, 0.2833979E+01,
 0.3360000E+00, 0.5006864E+01, 0.4996246E+01, 0.3133699E+01, 0.2834246E+01,
 0.3380000E+00, 0.5007005E+01, 0.4996375E+01, 0.3134619E+01, 0.2834523E+01,
 0.3400000E+00, 0.5007147E+01, 0.4996504E+01, 0.3135544E+01, 0.2834810E+01,
 0.3420000E+00, 0.5007288E+01, 0.4996634E+01, 0.3136474E+01, 0.2835109E+01,
 0.3440000E+00, 0.5007430E+01, 0.4996763E+01, 0.3137409E+01, 0.2835417E+01,
 0.3460000E+00, 0.5007571E+01, 0.4996893E+01, 0.3138348E+01, 0.2835735E+01,
 0.3480000E+00, 0.5007712E+01, 0.4997024E+01, 0.3139293E+01, 0.2836064E+01,
 0.3500000E+00, 0.5007854E+01, 0.4997154E+01, 0.3140241E+01, 0.2836402E+01,
 0.3520000E+00, 0.5007995E+01, 0.4997284E+01, 0.3141195E+01, 0.2836750E+01,
 0.3540000E+00, 0.5008136E+01, 0.4997415E+01, 0.3142153E+01, 0.2837108E+01,
 0.3560000E+00, 0.5008278E+01, 0.4997546E+01, 0.3143115E+01, 0.2837475E+01,
 0.3580000E+00, 0.5008420E+01, 0.4997677E+01, 0.3144082E+01, 0.2837852E+01,
 0.3600000E+00, 0.5008561E+01, 0.4997808E+01, 0.3145053E+01, 0.2838238E+01,
 0.3620000E+00, 0.5008702E+01, 0.4997940E+01, 0.3146028E+01, 0.2838633E+01,
 0.3640000E+00, 0.5008844E+01, 0.4998072E+01, 0.3147007E+01, 0.2839037E+01,
 0.3660000E+00, 0.5008985E+01, 0.4998203E+01, 0.3147991E+01, 0.2839450E+01,
 0.3680000E+00, 0.5009127E+01, 0.4998335E+01, 0.3148979E+01, 0.2839872E+01,
 0.3700000E+00, 0.5009268E+01, 0.4998467E+01, 0.3149971E+01, 0.2840302E+01,
 0.3720000E+00, 0.5009410E+01, 0.4998600E+01, 0.3150966E+01, 0.2840741E+01,
 0.3740000E+00, 0.5009552E+01, 0.4998732E+01, 0.3151966E+01, 0.2841188E+01,
 0.3760000E+00, 0.5009693E+01, 0.4998864E+01, 0.3152970E+01, 0.2841644E+01,
 0.3780000E+00, 0.5009835E+01, 0.4998997E+01, 0.3153977E+01, 0.2842108E+01,
 0.3800000E+00, 0.5009977E+01, 0.4999130E+01, 0.3154988E+01, 0.2842580E+01,
 0.3820000E+00, 0.5010118E+01, 0.4999262E+01, 0.3156003E+01, 0.2843060E+01,
 0.3840000E+00, 0.5010260E+01, 0.4999395E+01, 0.3157022E+01, 0.2843548E+01,
 0.3860000E+00, 0.5010402E+01, 0.4999528E+01, 0.3158044E+01, 0.2844044E+01,
 0.3880000E+00, 0.5010544E+01, 0.4999662E+01, 0.3159070E+01, 0.2844548E+01,
 0.3900000E+00, 0.5010686E+01, 0.4999795E+01, 0.3160100E+01, 0.2845059E+01,
 0.3920000E+00, 0.5010828E+01, 0.4999928E+01, 0.3161133E+01, 0.2845577E+01,
 0.3940000E+00, 0.5010970E+01, 0.5000062E+01, 0.3162169E+01, 0.2846103E+01,
 0.3960000E+00, 0.5011112E+01, 0.5000196E+01, 0.3163210E+01, 0.2846636E+01,
 0.3980000E+00, 0.5011254E+01, 0.5000329E+01, 0.3164253E+01, 0.2847177E+01,
 0.4000000E+00, 0.5011396E+01, 0.5000463E+01, 0.3165300E+01, 0.2847724E+01,
 0.4020000E+00, 0.5011539E+01, 0.5000597E+01, 0.3166351E+01, 0.2848278E+01,
 0.4040000E+00, 0.5011681E+01, 0.5000732E+01, 0.3167404E+01, 0.2848840E+01,
 0.4060000E+00, 0.5011823E+01, 0.5000866E+01, 0.3168462E+01, 0.2849407E+01,
 0.4080000E+00, 0.5011965E+01, 0.5001000E+01, 0.3169522E+01, 0.2849982E+01,
 0.4100000E+00, 0.5012107E+01, 0.5001134E+01, 0.3170585E+01, 0.2850563E+01,
 0.4120000E+00, 0.5012250E+01, 0.5001269E+01, 0.3171652E+01, 0.2851151E+01,
 0.4140000E+00, 0.5012393E+01, 0.5001404E+01, 0.3172722E+01, 0.2851745E+01,
 0.4160000E+00, 0.5012535E+01, 0.5001538E+01, 0.3173795E+01, 0.2852346E+01,
