@PIN,POH,PNB,PRF,PNF,PEX [MW]  vs t@
X,PIN,POH,PNB,PRF,PNF,PEX
 0.2460000E+00, 0.1473692E+03, 0.2760076E+02, 0.0000000E+00, 0.1050000E+03, 0.1476840E+02, 0.1050000E+03,
 0.2480000E+00, 0.1474543E+03, 0.2765303E+02, 0.0000000E+00, 0.1050000E+03, 0.1480131E+02, 0.1050000E+03,
 0.2500000E+00, 0.1475390E+03, 0.2770467E+02, 0.0000000E+00, 0.1050000E+03, 0.1483432E+02, 0.1050000E+03,
 0.2520000E+00, 0.1476231E+03, 0.2775568E+02, 0.0000000E+00, 0.1050000E+03, 0.1486744E+02, 0.1050000E+03,
 0.2540000E+00, 0.1477067E+03, 0.2780608E+02, 0.0000000E+00, 0.1050000E+03, 0.1490066E+02, 0.1050000E+03,
 0.2560000E+00, 0.1477899E+03, 0.2785588E+02, 0.0000000E+00, 0.1050000E+03, 0.1493398E+02, 0.1050000E+03,
 0.2580000E+00, 0.1478725E+03, 0.2790509E+02, 0.0000000E+00, 0.1050000E+03, 0.1496741E+02, 0.1050000E+03,
 0.2600000E+00, 0.1479547E+03, 0.2795372E+02, 0.0000000E+00, 0.1050000E+03, 0.1500093E+02, 0.1050000E+03,
 0.2620000E+00, 0.1480363E+03, 0.2800178E+02, 0.0000000E+00, 0.1050000E+03, 0.1503456E+02, 0.1050000E+03,
 0.2640000E+00, 0.1481176E+03, 0.2804927E+02, 0.0000000E+00, 0.1050000E+03, 0.1506830E+02, 0.1050000E+03,
 0.2660000E+00, 0.1481983E+03, 0.2809621E+02, 0.0000000E+00, 0.1050000E+03, 0.1510214E+02, 0.1050000E+03,
 0.2680000E+00, 0.1482787E+03, 0.2814260E+02, 0.0000000E+00, 0.1050000E+03, 0.1513608E+02, 0.1050000E+03,
 0.2700000E+00, 0.1483586E+03, 0.2818845E+02, 0.0000000E+00, 0.1050000E+03, 0.1517012E+02, 0.1050000E+03,
 0.2720000E+00, 0.1484380E+03, 0.2823377E+02, 0.0000000E+00, 0.1050000E+03, 0.1520427E+02, 0.1050000E+03,
 0.2740000E+00, 0.1485171E+03, 0.2827857E+02, 0.0000000E+00, 0.1050000E+03, 0.1523852E+02, 0.1050000E+03,
 0.2760000E+00, 0.1485957E+03, 0.2832285E+02, 0.0000000E+00, 0.1050000E+03, 0.1527289E+02, 0.1050000E+03,
 0.2780000E+00, 0.1486740E+03, 0.2836662E+02, 0.0000000E+00, 0.1050000E+03, 0.1530735E+02, 0.1050000E+03,
 0.2800000E+00, 0.1487518E+03, 0.2840989E+02, 0.0000000E+00, 0.1050000E+03, 0.1534193E+02, 0.1050000E+03,
 0.2820000E+00, 0.1488293E+03, 0.2845265E+02, 0.0000000E+00, 0.1050000E+03, 0.1537662E+02, 0.1050000E+03,
 0.2840000E+00, 0.1489063E+03, 0.2849493E+02, 0.0000000E+00, 0.1050000E+03, 0.1541142E+02, 0.1050000E+03,
 0.2860000E+00, 0.1489830E+03, 0.2853673E+02, 0.0000000E+00, 0.1050000E+03, 0.1544633E+02, 0.1050000E+03,
 0.2880000E+00, 0.1490594E+03, 0.2857804E+02, 0.0000000E+00, 0.1050000E+03, 0.1548135E+02, 0.1050000E+03,
 0.2900000E+00, 0.1491354E+03, 0.2861889E+02, 0.0000000E+00, 0.1050000E+03, 0.1551649E+02, 0.1050000E+03,
 0.2920000E+00, 0.1492110E+03, 0.2865927E+02, 0.0000000E+00, 0.1050000E+03, 0.1555174E+02, 0.1050000E+03,
 0.2940000E+00, 0.1492863E+03, 0.2869918E+02, 0.0000000E+00, 0.1050000E+03, 0.1558712E+02, 0.1050000E+03,
 0.2960000E+00, 0.1493613E+03, 0.2873864E+02, 0.0000000E+00, 0.1050000E+03, 0.1562260E+02, 0.1050000E+03,
 0.2980000E+00, 0.1494359E+03, 0.2877765E+02, 0.0000000E+00, 0.1050000E+03, 0.1565821E+02, 0.1050000E+03,
 0.3000000E+00, 0.1495101E+03, 0.2881622E+02, 0.0000000E+00, 0.1050000E+03, 0.1569392E+02, 0.1050000E+03,
 0.3020000E+00, 0.1495841E+03, 0.2885435E+02, 0.0000000E+00, 0.1050000E+03, 0.1572973E+02, 0.1050000E+03,
 0.3040000E+00, 0.1496577E+03, 0.2889205E+02, 0.0000000E+00, 0.1050000E+03, 0.1576564E+02, 0.1050000E+03,
 0.3060000E+00, 0.1497309E+03, 0.2892932E+02, 0.0000000E+00, 0.1050000E+03, 0.1580163E+02, 0.1050000E+03,
 0.3080000E+00, 0.1498039E+03, 0.2896616E+02, 0.0000000E+00, 0.1050000E+03, 0.1583770E+02, 0.1050000E+03,
 0.3100000E+00, 0.1498764E+03, 0.2900259E+02, 0.0000000E+00, 0.1050000E+03, 0.1587386E+02, 0.1050000E+03,
