@BETAa,BETA0,[%],BETAN  vs t@
X,Y1,Y2,Y3
 0.5740000E+00, 0.6976657E+00, 0.1808190E+01, 0.7802361E+00,
 0.5760000E+00, 0.6979237E+00, 0.1808243E+01, 0.7805246E+00,
 0.5780000E+00, 0.6981820E+00, 0.1808295E+01, 0.7808135E+00,
 0.5800000E+00, 0.6984408E+00, 0.1808347E+01, 0.7811030E+00,
 0.5820000E+00, 0.6987000E+00, 0.1808399E+01, 0.7813929E+00,
 0.5840000E+00, 0.6989596E+00, 0.1808451E+01, 0.7816831E+00,
 0.5860000E+00, 0.6992196E+00, 0.1808504E+01, 0.7819740E+00,
 0.5880000E+00, 0.6994800E+00, 0.1808556E+01, 0.7822652E+00,
 0.5900000E+00, 0.6997408E+00, 0.1808608E+01, 0.7825568E+00,
 0.5920000E+00, 0.7000020E+00, 0.1808660E+01, 0.7828489E+00,
 0.5940000E+00, 0.7002636E+00, 0.1808712E+01, 0.7831415E+00,
 0.5960000E+00, 0.7005255E+00, 0.1808765E+01, 0.7834344E+00,
 0.5980000E+00, 0.7007878E+00, 0.1808817E+01, 0.7837278E+00,
 0.6000000E+00, 0.7010505E+00, 0.1808869E+01, 0.7840216E+00,
 0.6020000E+00, 0.7013136E+00, 0.1808921E+01, 0.7843158E+00,
 0.6040000E+00, 0.7015770E+00, 0.1808974E+01, 0.7846104E+00,
 0.6060000E+00, 0.7018408E+00, 0.1809026E+01, 0.7849054E+00,
 0.6080000E+00, 0.7021050E+00, 0.1809078E+01, 0.7852008E+00,
 0.6100000E+00, 0.7023695E+00, 0.1809131E+01, 0.7854967E+00,
 0.6120000E+00, 0.7026343E+00, 0.1809183E+01, 0.7857928E+00,
 0.6140000E+00, 0.7028996E+00, 0.1809235E+01, 0.7860895E+00,
 0.6160000E+00, 0.7031651E+00, 0.1809287E+01, 0.7863864E+00,
 0.6180000E+00, 0.7034310E+00, 0.1809340E+01, 0.7866838E+00,
 0.6200000E+00, 0.7036972E+00, 0.1809392E+01, 0.7869815E+00,
 0.6220000E+00, 0.7039638E+00, 0.1809444E+01, 0.7872797E+00,
 0.6240000E+00, 0.7042307E+00, 0.1809496E+01, 0.7875781E+00,
 0.6260000E+00, 0.7044979E+00, 0.1809549E+01, 0.7878769E+00,
 0.6280000E+00, 0.7047654E+00, 0.1809601E+01, 0.7881762E+00,
 0.6300000E+00, 0.7050332E+00, 0.1809653E+01, 0.7884756E+00,
 0.6320000E+00, 0.7053015E+00, 0.1809706E+01, 0.7887756E+00,
 0.6340000E+00, 0.7055699E+00, 0.1809758E+01, 0.7890758E+00,
 0.6360000E+00, 0.7058387E+00, 0.1809810E+01, 0.7893764E+00,
 0.6380000E+00, 0.7061078E+00, 0.1809862E+01, 0.7896774E+00,
 0.6400000E+00, 0.7063771E+00, 0.1809915E+01, 0.7899786E+00,
 0.6420000E+00, 0.7066468E+00, 0.1809967E+01, 0.7902802E+00,
 0.6440000E+00, 0.7069168E+00, 0.1810019E+01, 0.7905821E+00,
 0.6460000E+00, 0.7071871E+00, 0.1810072E+01, 0.7908844E+00,
 0.6480000E+00, 0.7074577E+00, 0.1810124E+01, 0.7911870E+00,
 0.6500000E+00, 0.7077284E+00, 0.1810176E+01, 0.7914898E+00,
 0.6520000E+00, 0.7079996E+00, 0.1810229E+01, 0.7917930E+00,
 0.6540000E+00, 0.7082710E+00, 0.1810281E+01, 0.7920966E+00,
 0.6560000E+00, 0.7085426E+00, 0.1810333E+01, 0.7924004E+00,
 0.6580000E+00, 0.7088146E+00, 0.1810385E+01, 0.7927045E+00,
 0.6600000E+00, 0.7090868E+00, 0.1810438E+01, 0.7930089E+00,
 0.6620000E+00, 0.7093592E+00, 0.1810490E+01, 0.7933136E+00,
 0.6640000E+00, 0.7096320E+00, 0.1810542E+01, 0.7936187E+00,
 0.6660000E+00, 0.7099050E+00, 0.1810595E+01, 0.7939240E+00,
 0.6680000E+00, 0.7101783E+00, 0.1810647E+01, 0.7942296E+00,
 0.6700000E+00, 0.7104518E+00, 0.1810699E+01, 0.7945355E+00,
