@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.5360000E+01, 0.2000115E+00, 0.4353538E+00,
 0.5380000E+01, 0.2001296E+00, 0.4359118E+00,
 0.5400000E+01, 0.2002472E+00, 0.4364685E+00,
 0.5420000E+01, 0.2003641E+00, 0.4370236E+00,
 0.5440000E+01, 0.2004804E+00, 0.4375774E+00,
 0.5460000E+01, 0.2005960E+00, 0.4381297E+00,
 0.5480000E+01, 0.2007110E+00, 0.4386807E+00,
 0.5500000E+01, 0.2008255E+00, 0.4392302E+00,
 0.5520000E+01, 0.2009392E+00, 0.4397784E+00,
 0.5540000E+01, 0.2010524E+00, 0.4403251E+00,
 0.5560000E+01, 0.2011650E+00, 0.4408705E+00,
 0.5580000E+01, 0.2012770E+00, 0.4414145E+00,
 0.5600000E+01, 0.2013883E+00, 0.4419571E+00,
 0.5620000E+01, 0.2014991E+00, 0.4424984E+00,
 0.5640000E+01, 0.2016093E+00, 0.4430384E+00,
 0.5660000E+01, 0.2017190E+00, 0.4435770E+00,
 0.5680000E+01, 0.2018280E+00, 0.4441142E+00,
 0.5700000E+01, 0.2019365E+00, 0.4446502E+00,
 0.5720000E+01, 0.2020444E+00, 0.4451848E+00,
 0.5740000E+01, 0.2021517E+00, 0.4457181E+00,
 0.5760000E+01, 0.2022585E+00, 0.4462501E+00,
 0.5780000E+01, 0.2023648E+00, 0.4467808E+00,
 0.5800000E+01, 0.2024705E+00, 0.4473102E+00,
 0.5820000E+01, 0.2025756E+00, 0.4478383E+00,
 0.5840000E+01, 0.2026802E+00, 0.4483651E+00,
 0.5860000E+01, 0.2027843E+00, 0.4488907E+00,
 0.5880000E+01, 0.2028878E+00, 0.4494149E+00,
 0.5900000E+01, 0.2029908E+00, 0.4499379E+00,
 0.5920000E+01, 0.2030933E+00, 0.4504597E+00,
 0.5940000E+01, 0.2031953E+00, 0.4509802E+00,
 0.5960000E+01, 0.2032968E+00, 0.4514995E+00,
 0.5980000E+01, 0.2033977E+00, 0.4520175E+00,
 0.6000000E+01, 0.2034981E+00, 0.4525343E+00,
 0.6020000E+01, 0.2035981E+00, 0.4530499E+00,
 0.6040000E+01, 0.2036975E+00, 0.4535642E+00,
 0.6060000E+01, 0.2037965E+00, 0.4540773E+00,
 0.6080000E+01, 0.2038949E+00, 0.4545892E+00,
 0.6100000E+01, 0.2039929E+00, 0.4551000E+00,
 0.6120000E+01, 0.2040904E+00, 0.4556095E+00,
 0.6140000E+01, 0.2041874E+00, 0.4561178E+00,
 0.6160000E+01, 0.2042839E+00, 0.4566250E+00,
 0.6180000E+01, 0.2043800E+00, 0.4571309E+00,
 0.6200000E+01, 0.2044756E+00, 0.4576357E+00,
 0.6220000E+01, 0.2045707E+00, 0.4581393E+00,
 0.6240000E+01, 0.2046654E+00, 0.4586418E+00,
 0.6260000E+01, 0.2047596E+00, 0.4591431E+00,
 0.6280000E+01, 0.2048534E+00, 0.4596432E+00,
 0.6300000E+01, 0.2049467E+00, 0.4601422E+00,
 0.6320000E+01, 0.2050395E+00, 0.4606400E+00,
 0.6340000E+01, 0.2051319E+00, 0.4611367E+00,
 0.6360000E+01, 0.2052239E+00, 0.4616323E+00,
 0.6380000E+01, 0.2053155E+00, 0.4621267E+00,
 0.6400000E+01, 0.2054066E+00, 0.4626200E+00,
 0.6420000E+01, 0.2054972E+00, 0.4631123E+00,
 0.6440000E+01, 0.2055875E+00, 0.4636033E+00,
 0.6460000E+01, 0.2056773E+00, 0.4640933E+00,
 0.6480000E+01, 0.2057668E+00, 0.4645822E+00,
