psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   3,  31,  0.29452431E+01,  0.84737329E+01,  0.90965033E+00,  0.11100256E+00
   3,  32,  0.30434179E+01,  0.84730539E+01,  0.89869899E+00,  0.11100256E+00
   3,  33,  0.31415927E+01,  0.84729033E+01,  0.88772762E+00,  0.11100256E+00
   3,  34,  0.32397674E+01,  0.84732714E+01,  0.87676132E+00,  0.11100256E+00
   3,  35,  0.33379422E+01,  0.84741545E+01,  0.86582446E+00,  0.11100256E+00
   3,  36,  0.34361170E+01,  0.84755630E+01,  0.85494292E+00,  0.11100256E+00
   3,  37,  0.35342917E+01,  0.84775200E+01,  0.84414661E+00,  0.11100256E+00
   3,  38,  0.36324665E+01,  0.84800510E+01,  0.83347052E+00,  0.11100256E+00
   3,  39,  0.37306413E+01,  0.84831896E+01,  0.82295734E+00,  0.11100256E+00
   3,  40,  0.38288160E+01,  0.84869766E+01,  0.81265998E+00,  0.11100256E+00
   3,  41,  0.39269908E+01,  0.84914589E+01,  0.80264628E+00,  0.11100256E+00
   3,  42,  0.40251656E+01,  0.84966927E+01,  0.79300487E+00,  0.11100256E+00
   3,  43,  0.41233404E+01,  0.85027428E+01,  0.78385460E+00,  0.11100256E+00
   3,  44,  0.42215151E+01,  0.85096760E+01,  0.77535611E+00,  0.11100256E+00
   3,  45,  0.43196899E+01,  0.85175533E+01,  0.76772696E+00,  0.11100256E+00
   3,  46,  0.44178647E+01,  0.85264015E+01,  0.76125288E+00,  0.11100256E+00
   3,  47,  0.45160394E+01,  0.85361691E+01,  0.75628167E+00,  0.11100256E+00
   3,  48,  0.46142142E+01,  0.85466747E+01,  0.75317359E+00,  0.11100256E+00
   3,  49,  0.47123890E+01,  0.85575876E+01,  0.75222188E+00,  0.11100256E+00
   3,  50,  0.48105638E+01,  0.85684643E+01,  0.75352275E+00,  0.11100256E+00
   3,  51,  0.49087385E+01,  0.85788841E+01,  0.75691414E+00,  0.11100256E+00
   3,  52,  0.50069133E+01,  0.85885601E+01,  0.76206470E+00,  0.11100256E+00
   3,  53,  0.51050881E+01,  0.85973587E+01,  0.76860732E+00,  0.11100256E+00
   3,  54,  0.52032628E+01,  0.86052513E+01,  0.77622187E+00,  0.11100256E+00
   3,  55,  0.53014376E+01,  0.86122618E+01,  0.78465807E+00,  0.11100256E+00
   3,  56,  0.53996124E+01,  0.86184282E+01,  0.79373032E+00,  0.11100256E+00
   3,  57,  0.54977871E+01,  0.86237965E+01,  0.80329770E+00,  0.11100256E+00
   3,  58,  0.55959619E+01,  0.86284113E+01,  0.81325114E+00,  0.11100256E+00
   3,  59,  0.56941367E+01,  0.86323128E+01,  0.82350534E+00,  0.11100256E+00
   3,  60,  0.57923115E+01,  0.86355371E+01,  0.83399230E+00,  0.11100256E+00
   3,  61,  0.58904862E+01,  0.86381178E+01,  0.84465653E+00,  0.11100256E+00
   3,  62,  0.59886610E+01,  0.86400785E+01,  0.85545176E+00,  0.11100256E+00
   3,  63,  0.60868358E+01,  0.86414452E+01,  0.86633855E+00,  0.11100256E+00
   3,  64,  0.61850105E+01,  0.86422338E+01,  0.87728232E+00,  0.11100256E+00
